timestamp,open,high,low,close,volume,quote_volume,trades
2025-04-01 00:00:00,82550.0,82837.38,82432.74,82651.1,526.95922,43545372.6445268,126921
2025-04-01 01:00:00,82651.09,82741.8,82460.0,82704.2,440.09093,36359141.4696253,113653
2025-04-01 02:00:00,82704.2,83120.0,82649.34,83100.0,522.78246,43351985.5174451,94933
2025-04-01 03:00:00,83100.0,83256.8,82926.08,82962.84,526.15363,43729072.3185155,73770
2025-04-01 04:00:00,82962.84,83235.96,82886.87,83060.0,425.37874,35327403.8213076,58157
2025-04-01 05:00:00,83059.99,83329.99,82994.07,83006.67,348.44364,28982810.7766795,54642
2025-04-01 06:00:00,83006.67,83494.25,82891.71,83454.76,425.66016,35424171.1136857,82468
2025-04-01 07:00:00,83454.76,83597.07,83380.58,83445.5,622.58551,51976267.3257937,81017
2025-04-01 08:00:00,83445.5,84207.55,83410.0,84121.94,1217.29279,102136241.6661205,134808
2025-04-01 09:00:00,84121.94,84395.46,84116.27,84362.0,1018.97186,85859817.0410361,119942
2025-04-01 10:00:00,84362.01,84504.74,84150.0,84175.99,914.76118,77138285.2119569,132602
2025-04-01 11:00:00,84175.99,84203.0,83823.67,83930.3,854.54351,71781437.9528087,97492
2025-04-01 12:00:00,83930.31,84154.22,83615.25,83615.26,734.99256,61653527.0664245,108938
2025-04-01 13:00:00,83615.26,83912.62,83416.66,83618.23,1152.68104,96449625.5313903,250149
2025-04-01 14:00:00,83622.96,84350.0,82544.0,84195.92,2522.86047,210121766.1809197,427569
2025-04-01 15:00:00,84195.92,85499.55,84182.89,85280.87,2484.93075,211057969.1642983,378853
2025-04-01 16:00:00,85280.88,85493.0,84815.0,85119.99,1208.48492,102897039.5191493,215410
2025-04-01 17:00:00,85120.0,85333.33,84901.32,85117.85,775.2624,65991060.428123,146324
2025-04-01 18:00:00,85117.86,85183.46,84720.0,85126.68,742.89553,63116267.9024305,164980
2025-04-01 19:00:00,85126.68,85184.89,84816.83,84972.01,897.45326,76316526.2282284,121491
2025-04-01 20:00:00,84972.0,85350.0,84773.58,85231.28,528.39638,44930827.4391833,94995
2025-04-01 21:00:00,85231.28,85476.86,85120.0,85223.84,325.84141,27791458.7315451,80534
2025-04-01 22:00:00,85223.84,85483.38,85082.0,85099.99,477.11302,40677735.1673023,88267
2025-04-01 23:00:00,85100.0,85579.46,84969.56,85158.34,495.8616,42279892.3569721,80778
2025-04-02 00:00:00,85158.35,85255.95,84923.28,84964.49,472.95093,40244375.9886444,94066
2025-04-02 01:00:00,84964.49,85213.12,84854.9,85147.3,597.76896,50822554.4873381,92953
2025-04-02 02:00:00,85147.31,85174.89,84648.9,84714.36,850.77436,72147345.6433445,122696
2025-04-02 03:00:00,84714.36,84904.0,84504.21,84550.0,475.50966,40279404.1916991,85959
2025-04-02 04:00:00,84550.0,84726.42,84460.11,84607.0,444.66226,37616641.3234404,76243
2025-04-02 05:00:00,84607.0,84607.0,84100.0,84100.0,550.68482,46407937.013505,84270
2025-04-02 06:00:00,84100.0,84371.59,83904.72,84125.99,646.4978,54378067.2452662,107186
2025-04-02 07:00:00,84125.99,84462.16,84015.97,84426.33,642.70738,54146861.1245059,110276
2025-04-02 08:00:00,84426.32,84762.72,84262.73,84677.04,535.25665,45249870.5322529,84116
2025-04-02 09:00:00,84677.04,85450.0,84635.6,85019.62,910.86351,77473602.1631831,141986
2025-04-02 10:00:00,85019.63,85299.45,84828.0,84867.92,592.83032,50424168.3096573,105532
2025-04-02 11:00:00,84867.92,84985.77,84547.08,84566.91,463.52271,39299369.2645434,95087
2025-04-02 12:00:00,84566.91,85054.78,84462.69,85049.99,742.57082,62936081.8489417,140973
2025-04-02 13:00:00,85049.99,86136.36,84471.76,85215.82,2792.28052,238657566.8307298,418244
2025-04-02 14:00:00,85215.79,86000.0,85181.52,85877.75,2062.01342,176645260.6016038,321623
2025-04-02 15:00:00,85877.74,87333.0,85811.2,86757.67,5585.70214,484791293.9482131,604816
2025-04-02 16:00:00,86757.67,87221.99,86589.58,87065.18,2549.14196,221513874.8964671,321594
2025-04-02 17:00:00,87065.19,87333.0,86350.0,86615.33,2025.44811,176041090.2793043,300238
2025-04-02 18:00:00,86615.33,86751.79,86212.4,86286.02,685.2329,59256106.6000153,152747
2025-04-02 19:00:00,86286.03,87000.0,86186.19,86900.02,812.77336,70269829.1602253,166336
2025-04-02 20:00:00,86900.01,88500.0,85228.39,85659.99,7832.63499,679639763.8336287,818746
2025-04-02 21:00:00,85659.99,85743.22,84207.26,84855.99,1793.31035,151929699.431178,261078
2025-04-02 22:00:00,84855.98,84855.98,82682.0,82821.59,3036.67427,253421410.138778,376822
2025-04-02 23:00:00,82821.6,82845.42,82320.0,82516.29,2829.6448,233687584.9742982,254651
2025-04-03 00:00:00,82516.28,83424.72,82175.98,83227.55,1848.78037,153296692.5796149,256257
2025-04-03 01:00:00,83227.55,83998.02,83099.99,83761.62,1735.38082,145093550.5442017,183785
2025-04-03 02:00:00,83761.63,83894.91,83278.99,83768.01,1422.27146,118871487.4084492,158548
2025-04-03 03:00:00,83768.0,83792.58,83349.65,83483.97,638.13813,53317245.5880928,89315
2025-04-03 04:00:00,83483.97,83735.85,83263.05,83558.8,630.55266,52640978.0231239,90666
2025-04-03 05:00:00,83558.81,83709.48,83343.74,83343.75,457.59497,38211506.1448799,83901
2025-04-03 06:00:00,83343.75,83415.47,83008.74,83058.65,568.50834,47322493.7558832,101884
2025-04-03 07:00:00,83058.65,83498.1,83000.0,83456.75,774.52407,64463577.3471356,140624
2025-04-03 08:00:00,83456.76,83788.23,83456.74,83679.99,821.93677,68742267.5207039,135374
2025-04-03 09:00:00,83680.0,83766.69,83449.92,83483.05,539.18541,45097884.7911097,82729
2025-04-03 10:00:00,83483.04,83749.99,83152.25,83220.01,1239.61616,103443806.7068491,175437
2025-04-03 11:00:00,83220.01,83347.39,83047.0,83096.01,608.06162,50563482.8131837,126332
2025-04-03 12:00:00,83096.01,83147.95,81889.3,81949.06,1872.33047,154331919.5615047,257085
